word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10
acned,0.1,0.5,0.375,1,0.75,1,0.272727272727273,0,0.3,0.5
acnes,0.1,0.5,0.375,1,0.75,1,0.272727272727273,0,0.2,0.5
acock,0.1,0.5,0.375,1,0.818181818181818,0,0.375,1,0.8,0.5
acoin,0.1,0.5,0.375,1,0.818181818181818,0,0.727272727272727,0,0.75,1
acold,0.1,0.5,0.375,1,0.818181818181818,0,0.9,0.5,0.3,0.5
acoma,0.1,0.5,0.375,1,0.818181818181818,0,0.875,1,0.1,0.5
acone,0.1,0.5,0.375,1,0.818181818181818,0,0.75,1,0.272727272727273,0
acool,0.1,0.5,0.375,1,0.818181818181818,0,0.818181818181818,0,0.9,0.5
acorn,0.1,0.5,0.375,1,0.818181818181818,0,0.363636363636364,0,0.75,1
acost,0.1,0.5,0.375,1,0.818181818181818,0,0.2,0.5,0.454545454545455,0
acoup,0.1,0.5,0.375,1,0.818181818181818,0,0.636363636363636,0,0.909090909090909,0
acrab,0.1,0.5,0.375,1,0.363636363636364,0,0.1,0.5,0.625,1
acred,0.1,0.5,0.375,1,0.363636363636364,0,0.272727272727273,0,0.3,0.5
acres,0.1,0.5,0.375,1,0.363636363636364,0,0.272727272727273,0,0.2,0.5
acrid,0.1,0.5,0.375,1,0.363636363636364,0,0.727272727272727,0,0.3,0.5
acryl,0.1,0.5,0.375,1,0.363636363636364,0,0.545454545454545,0,0.9,0.5
acroa,0.1,0.5,0.375,1,0.363636363636364,0,0.818181818181818,0,0.1,0.5
acron,0.1,0.5,0.375,1,0.363636363636364,0,0.818181818181818,0,0.75,1
acrux,0.1,0.5,0.375,1,0.363636363636364,0,0.636363636363636,0,0.25,1
acted,0.1,0.5,0.375,1,0.454545454545455,0,0.272727272727273,0,0.3,0.5
actin,0.1,0.5,0.375,1,0.454545454545455,0,0.727272727272727,0,0.75,1
acton,0.1,0.5,0.375,1,0.454545454545455,0,0.818181818181818,0,0.75,1
actor,0.1,0.5,0.375,1,0.454545454545455,0,0.818181818181818,0,0.363636363636364,0
actos,0.1,0.5,0.375,1,0.454545454545455,0,0.818181818181818,0,0.2,0.5
actus,0.1,0.5,0.375,1,0.454545454545455,0,0.636363636363636,0,0.2,0.5
acuan,0.1,0.5,0.375,1,0.636363636363636,0,0.1,0.5,0.75,1
acute,0.1,0.5,0.375,1,0.636363636363636,0,0.454545454545455,0,0.272727272727273,0
adage,0.1,0.5,0.3,0.5,0.1,0.5,0.5,0.5,0.272727272727273,0
adagy,0.1,0.5,0.3,0.5,0.1,0.5,0.5,0.5,0.545454545454545,0
