word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8
anan,0.1,0.5,0.75,1,0.1,0.5,0.75,1
anas,0.1,0.5,0.75,1,0.1,0.5,0.2,0.5
anat,0.1,0.5,0.75,1,0.1,0.5,0.454545454545455,0
anax,0.1,0.5,0.75,1,0.1,0.5,0.25,1
anba,0.1,0.5,0.75,1,0.625,1,0.1,0.5
anda,0.1,0.5,0.75,1,0.3,0.5,0.1,0.5
ande,0.1,0.5,0.75,1,0.3,0.5,0.272727272727273,0
andi,0.1,0.5,0.75,1,0.3,0.5,0.727272727272727,0
andy,0.1,0.5,0.75,1,0.3,0.5,0.545454545454545,0
ands,0.1,0.5,0.75,1,0.3,0.5,0.2,0.5
anes,0.1,0.5,0.75,1,0.272727272727273,0,0.2,0.5
anet,0.1,0.5,0.75,1,0.272727272727273,0,0.454545454545455,0
anew,0.1,0.5,0.75,1,0.272727272727273,0,0.181818181818182,0
anga,0.1,0.5,0.75,1,0.5,0.5,0.1,0.5
ango,0.1,0.5,0.75,1,0.5,0.5,0.818181818181818,0
anil,0.1,0.5,0.75,1,0.727272727272727,0,0.9,0.5
anim,0.1,0.5,0.75,1,0.727272727272727,0,0.875,1
anis,0.1,0.5,0.75,1,0.727272727272727,0,0.2,0.5
ankh,0.1,0.5,0.75,1,0.8,0.5,0.6,0.5
anna,0.1,0.5,0.75,1,0.75,1,0.1,0.5
anne,0.1,0.5,0.75,1,0.75,1,0.272727272727273,0
anni,0.1,0.5,0.75,1,0.75,1,0.727272727272727,0
anno,0.1,0.5,0.75,1,0.75,1,0.818181818181818,0
anoa,0.1,0.5,0.75,1,0.818181818181818,0,0.1,0.5
anon,0.1,0.5,0.75,1,0.818181818181818,0,0.75,1
anre,0.1,0.5,0.75,1,0.363636363636364,0,0.272727272727273,0
ansa,0.1,0.5,0.75,1,0.2,0.5,0.1,0.5
ansi,0.1,0.5,0.75,1,0.2,0.5,0.727272727272727,0
ansu,0.1,0.5,0.75,1,0.2,0.5,0.636363636363636,0
anta,0.1,0.5,0.75,1,0.454545454545455,0,0.1,0.5
ante,0.1,0.5,0.75,1,0.454545454545455,0,0.272727272727273,0
anti,0.1,0.5,0.75,1,0.454545454545455,0,0.727272727272727,0
ants,0.1,0.5,0.75,1,0.454545454545455,0,0.2,0.5
antu,0.1,0.5,0.75,1,0.454545454545455,0,0.636363636363636,0
anus,0.1,0.5,0.75,1,0.636363636363636,0,0.2,0.5
aoli,0.1,0.5,0.818181818181818,0,0.9,0.5,0.727272727272727,0
aoul,0.1,0.5,0.818181818181818,0,0.636363636363636,0,0.9,0.5
apay,0.1,0.5,0.909090909090909,0,0.1,0.5,0.545454545454545,0
apar,0.1,0.5,0.909090909090909,0,0.1,0.5,0.363636363636364,0
aped,0.1,0.5,0.909090909090909,0,0.272727272727273,0,0.3,0.5
aper,0.1,0.5,0.909090909090909,0,0.272727272727273,0,0.363636363636364,0
apes,0.1,0.5,0.909090909090909,0,0.272727272727273,0,0.2,0.5
apex,0.1,0.5,0.909090909090909,0,0.272727272727273,0,0.25,1
apii,0.1,0.5,0.909090909090909,0,0.727272727272727,0,0.727272727272727,0
apio,0.1,0.5,0.909090909090909,0,0.727272727272727,0,0.818181818181818,0
apis,0.1,0.5,0.909090909090909,0,0.727272727272727,0,0.2,0.5
apod,0.1,0.5,0.909090909090909,0,0.818181818181818,0,0.3,0.5
appd,0.1,0.5,0.909090909090909,0,0.909090909090909,0,0.3,0.5
appl,0.1,0.5,0.909090909090909,0,0.909090909090909,0,0.9,0.5
appt,0.1,0.5,0.909090909090909,0,0.909090909090909,0,0.454545454545455,0
apse,0.1,0.5,0.909090909090909,0,0.2,0.5,0.272727272727273,0
apts,0.1,0.5,0.909090909090909,0,0.454545454545455,0,0.2,0.5
apus,0.1,0.5,0.909090909090909,0,0.636363636363636,0,0.2,0.5
aqua,0.1,0.5,0.0909090909090909,0,0.636363636363636,0,0.1,0.5
aquo,0.1,0.5,0.0909090909090909,0,0.636363636363636,0,0.818181818181818,0
arab,0.1,0.5,0.363636363636364,0,0.1,0.5,0.625,1
arad,0.1,0.5,0.363636363636364,0,0.1,0.5,0.3,0.5
arak,0.1,0.5,0.363636363636364,0,0.1,0.5,0.8,0.5
arar,0.1,0.5,0.363636363636364,0,0.1,0.5,0.363636363636364,0
arba,0.1,0.5,0.363636363636364,0,0.625,1,0.1,0.5
arbs,0.1,0.5,0.363636363636364,0,0.625,1,0.2,0.5
arca,0.1,0.5,0.363636363636364,0,0.375,1,0.1,0.5
arch,0.1,0.5,0.363636363636364,0,0.375,1,0.6,0.5
arco,0.1,0.5,0.363636363636364,0,0.375,1,0.818181818181818,0
arcs,0.1,0.5,0.363636363636364,0,0.375,1,0.2,0.5
ardu,0.1,0.5,0.363636363636364,0,0.3,0.5,0.636363636363636,0
area,0.1,0.5,0.363636363636364,0,0.272727272727273,0,0.1,0.5
ared,0.1,0.5,0.363636363636364,0,0.272727272727273,0,0.3,0.5
areg,0.1,0.5,0.363636363636364,0,0.272727272727273,0,0.5,0.5
aren,0.1,0.5,0.363636363636364,0,0.272727272727273,0,0.75,1
ares,0.1,0.5,0.363636363636364,0,0.272727272727273,0,0.2,0.5
aret,0.1,0.5,0.363636363636364,0,0.272727272727273,0,0.454545454545455,0
arew,0.1,0.5,0.363636363636364,0,0.272727272727273,0,0.181818181818182,0
argh,0.1,0.5,0.363636363636364,0,0.5,0.5,0.6,0.5
argo,0.1,0.5,0.363636363636364,0,0.5,0.5,0.818181818181818,0
aria,0.1,0.5,0.363636363636364,0,0.727272727272727,0,0.1,0.5
arya,0.1,0.5,0.363636363636364,0,0.545454545454545,0,0.1,0.5
arid,0.1,0.5,0.363636363636364,0,0.727272727272727,0,0.3,0.5
aril,0.1,0.5,0.363636363636364,0,0.727272727272727,0,0.9,0.5
aryl,0.1,0.5,0.363636363636364,0,0.545454545454545,0,0.9,0.5
arks,0.1,0.5,0.363636363636364,0,0.8,0.5,0.2,0.5
arle,0.1,0.5,0.363636363636364,0,0.9,0.5,0.272727272727273,0
army,0.1,0.5,0.363636363636364,0,0.875,1,0.545454545454545,0
arms,0.1,0.5,0.363636363636364,0,0.875,1,0.2,0.5
arna,0.1,0.5,0.363636363636364,0,0.75,1,0.1,0.5
arne,0.1,0.5,0.363636363636364,0,0.75,1,0.272727272727273,0
arni,0.1,0.5,0.363636363636364,0,0.75,1,0.727272727272727,0
arow,0.1,0.5,0.363636363636364,0,0.818181818181818,0,0.181818181818182,0
arri,0.1,0.5,0.363636363636364,0,0.363636363636364,0,0.727272727272727,0
